time,s,e,i,r,mandate,complying,away_percent
155.75,4661,244,1277,818,0,3806,75.1
156,4661,242,1278,819,0,3796,75.57142857
156.25,4656,245,1276,823,0,3776,76.14285714
156.5,4655,245,1277,823,0,3768,75.91428571
156.75,4655,242,1280,823,0,3936,72.41428571
157,4652,242,1279,827,0,4078,68.97142857
157.25,4650,244,1278,828,0,4222,65.9
157.5,4648,245,1278,829,0,4369,62.58571429
157.75,4647,246,1276,831,0,4498,59.78571429
158,4642,249,1278,831,0,4607,57.34285714
158.25,4641,248,1279,832,0,4731,54.75714286
158.5,4639,250,1279,832,0,4867,51.85714286
158.75,4639,248,1278,835,0,4957,49.8
159,4635,250,1278,837,0,5043,47.75714286
159.25,4630,254,1275,841,0,5125,45.92857143
159.5,4630,254,1273,843,0,5211,44.01428571
159.75,4629,254,1272,845,0,5305,42.1
160,4628,254,1271,847,0,5337,40.68571429
160.25,4627,252,1273,848,0,5375,39.41428571
160.5,4626,251,1273,850,0,5415,38.41428571
160.75,4625,252,1273,850,0,5454,37.17142857
161,4624,252,1272,852,0,5494,35.9
161.25,4623,252,1273,852,0,5552,34.75714286
161.5,4620,254,1273,853,0,5589,33.72857143
161.75,4619,254,1270,857,0,5609,32.77142857
162,4617,256,1268,859,0,5664,31.57142857
162.25,4617,255,1265,863,0,5701,30.58571429
162.5,4617,252,1266,865,0,5739,29.84285714
162.75,4616,252,1267,865,0,5760,29.27142857
163,4616,248,1269,867,0,5804,28.54285714
163.25,4616,247,1268,869,0,5841,27.74285714
163.5,4616,245,1267,872,0,5884,27.07142857
163.75,4616,244,1267,873,0,5907,26.51428571
164,4614,246,1267,873,0,5940,26.07142857
164.25,4614,244,1268,874,0,5950,25.81428571
164.5,4613,245,1265,877,0,5972,25.32857143
164.75,4613,243,1266,878,0,6012,24.51428571
165,4612,243,1267,878,0,6026,24.2
165.25,4610,245,1266,879,0,6029,24.05714286
165.5,4610,245,1264,881,0,6058,23.58571429
165.75,4607,248,1262,883,0,6059,23.27142857
166,4607,245,1264,884,0,6083,22.8
166.25,4607,244,1264,885,0,6089,22.64285714
166.5,4606,244,1263,887,0,6109,21.98571429
166.75,4605,242,1264,889,0,6109,22.05714286
167,4604,242,1261,893,0,6115,21.88571429
167.25,4601,244,1262,893,0,6121,21.81428571
167.5,4598,246,1262,894,0,6147,21.24285714
167.75,4597,245,1262,896,0,6146,21.42857143
168,4596,242,1264,898,0,6144,21.15714286
