time,s,e,i,r,mandate,complying,on_floor,away_percent
156.75,7392,7,188,113,0,5880,2995,38.8961039
157,7392,7,188,113,0,5891,2987,38.79220779
157.25,7392,7,188,113,0,5871,3044,39.53246753
157.5,7392,7,188,113,0,5877,3019,39.20779221
157.75,7392,7,188,113,0,5878,3017,39.18181818
158,7392,7,187,114,0,5877,3011,39.1038961
158.25,7392,7,187,114,0,5876,3005,39.02597403
158.5,7392,7,186,115,0,5890,3008,39.06493506
158.75,7392,6,187,115,0,5892,2983,38.74025974
159,7392,6,187,115,0,5913,2942,38.20779221
159.25,7392,6,187,115,0,5924,2916,37.87012987
159.5,7392,6,187,115,0,5933,2889,37.51948052
159.75,7392,6,187,115,0,5935,2874,37.32467532
160,7392,6,187,115,0,5943,2866,37.22077922
160.25,7392,6,187,115,0,5975,2835,36.81818182
160.5,7392,6,187,115,0,6074,2712,35.22077922
160.75,7392,6,187,115,0,6127,2607,33.85714286
161,7392,6,187,115,0,6155,2559,33.23376623
161.25,7392,6,187,115,0,6218,2462,31.97402597
161.5,7392,6,187,115,0,6274,2359,30.63636364
161.75,7392,6,187,115,0,6307,2292,29.76623377
162,7392,6,186,116,0,6341,2220,28.83116883
162.25,7392,6,186,116,0,6373,2181,28.32467532
162.5,7392,6,186,116,0,6447,2092,27.16883117
162.75,7392,6,185,117,0,6486,2026,26.31168831
163,7392,6,185,117,0,6528,1968,25.55844156
163.25,7392,6,185,117,0,6608,1845,23.96103896
163.5,7392,6,185,117,0,6672,1720,22.33766234
163.75,7392,6,185,117,0,6742,1606,20.85714286
164,7392,6,185,117,0,6809,1496,19.42857143
164.25,7392,6,185,117,0,6869,1399,18.16883117
164.5,7392,6,185,117,0,6915,1313,17.05194805
164.75,7392,6,185,117,0,6970,1236,16.05194805
165,7392,6,185,117,0,7013,1166,15.14285714
165.25,7392,6,185,117,0,7038,1117,14.50649351
165.5,7392,6,185,117,0,7077,1056,13.71428571
165.75,7392,6,185,117,0,7109,1002,13.01298701
166,7392,6,185,117,0,7141,964,12.51948052
166.25,7392,6,185,117,0,7225,833,10.81818182
166.5,7392,6,184,118,0,7292,717,9.311688312
166.75,7392,6,184,118,0,7342,623,8.090909091
167,7392,6,183,119,0,7400,530,6.883116883
167.25,7392,6,183,119,0,7439,461,5.987012987
167.5,7392,6,183,119,0,7462,417,5.415584416
167.75,7392,6,183,119,0,7489,366,4.753246753
168,7392,6,183,119,0,7514,321,4.168831169
