hour,fraction_away,leave_intensity,leave_probability,home_to_floor_rate,floor_to_home_rate
0,0.022576620558719826,0.006909538784163733,0.0011647705470766434,0.001165449419495194,0.4252763094666026
1,0.01666937889883374,0.005886883330597742,0.0009924627149257015,0.000992955532141419,0.31239830784249917
2,0.013691347979387036,0.010760032526269102,0.0018132759834209589,0.0018149219583557907,0.2496038034865293
3,0.014873881204231082,0.03819500006544306,0.006421739398660864,0.006442447469274481,0.19693654266958424
4,0.01904920051550255,0.07939938793926052,0.013303215540242608,0.013392496007717913,0.277713492247165
5,0.032477713852184356,0.1377241631088402,0.022962537902074254,0.023230283664307697,0.148919602881059
6,0.07248197213135493,0.34517977654240956,0.056559847723411494,0.0582223477947409,0.1256701159456427
7,0.15060371398731437,0.7040821745389265,0.1119785003195608,0.11875932493121107,0.18013446657363946
8,0.2550514613479086,0.9294855697590241,0.14510676304927306,0.15677868690564462,0.1503688292037072
9,0.34592777227314014,0.972488383780222,0.15128520578596016,0.16403208054061943,0.1315779659120576
10,0.40800527446351476,1.0,0.15521450386537516,0.16867253457876774,0.1368327773144287
11,0.4304828357326395,0.8545041982570678,0.13422601253036448,0.14413138892821747,0.1693285548382263
12,0.4319011786282601,0.8629771654546303,0.13546245561137027,0.1455605457808331,0.21431782984463205
13,0.41684241794148225,0.7346568081275191,0.11654632833259337,0.1239164258724161,0.20561922222294202
14,0.3993538706930345,0.6676452919459643,0.10650400216468281,0.11261342359210716,0.21771065333504833
15,0.3809937367260528,0.7074139910894355,0.11247741571401426,0.1193213108735369,0.26501729145510966
16,0.34086012774710406,0.7215481373459128,0.11459078688927682,0.12170535314672394,0.34158852160932496
17,0.3063979630532532,0.7126490641716567,0.11326076382989836,0.12020432391902024,0.4073694260758867
18,0.26206924577373214,0.5184587381338234,0.08373508667685414,0.08744974943554161,0.405644285935804
19,0.20924811622486042,0.23898297994340886,0.03950822969655776,0.04030986494824159,0.4282383419689119
20,0.15050570785541909,0.1226283919841282,0.02047159417601907,0.020684041687281548,0.47238987478605526
21,0.09784377542717657,0.0716517487840575,0.012012943545271382,0.012085682074408117,0.6303534303534304
22,0.05746406292378627,0.04503897521235536,0.007568055062131651,0.007596838103898272,0.6711662812101761
23,0.03609438567941416,0.02802575127050456,0.0047160189958198595,0.004727174500270125,0.6176735798016231
